session_id,label
p10083_s0017,2
p10083_s0018,0
p10084_s0001,1
p10084_s0002,0
p10084_s0003,0
p10084_s0004,2
p10084_s0005,0
p10084_s0006,0
p10084_s0007,0
p10084_s0008,0
p10084_s0009,0
p10085_s0001,1
p10085_s0002,2
p10085_s0003,2
p10085_s0004,0
p10085_s0005,1
p10085_s0006,2
p10085_s0007,2
p10085_s0008,0
p10086_s0001,1
p10086_s0002,2
p10086_s0003,0
p10086_s0004,2
p10087_s0001,1
p10087_s0002,2
p10087_s0003,0
p10088_s0001,1
p10088_s0002,0
p10088_s0003,2
p10088_s0004,0
p10088_s0005,2
p10088_s0006,2
p10088_s0007,0
p10088_s0008,0
p10088_s0009,0
p10088_s0010,0
p10088_s0011,0
p10088_s0012,0
p10088_s0013,2
p10088_s0014,2
p10088_s0015,2
p10089_s0001,2
p1009_s0001,1
p1009_s0002,0
p1009_s0003,0
p1009_s0004,0
p1009_s0005,0
p1009_s0006,2
p1009_s0007,0
p1009_s0008,0
p1009_s0009,0
p1009_s0010,2
p1009_s0011,0
p1009_s0012,2
p1009_s0013,0
p1009_s0014,0
p1009_s0015,0
p1009_s0016,0
p1009_s0017,2
p1009_s0018,0
p1009_s0019,1
p1009_s0020,0
p1009_s0021,2
p1009_s0022,0
p1009_s0023,1
p1009_s0024,0
p1009_s0025,2
p1009_s0026,2
p10090_s0001,1
p10091_s0001,1
p10091_s0002,0
p10091_s0003,0
p10091_s0004,2
p10091_s0005,0
p10091_s0006,0
p10091_s0007,2
p10091_s0008,0
p10091_s0009,0
p10091_s0010,0
p10091_s0011,0
p10091_s0012,0
p10091_s0013,2
p10091_s0014,2
p10092_s0001,1
p10092_s0002,0
p10092_s0003,2
p10093_s0001,1
p10093_s0002,1
p10093_s0003,0
p10093_s0004,0
p10093_s0005,0
p10093_s0006,2
p10093_s0007,2
p10093_s0008,0
p10093_s0009,1
p10093_s0010,2
p10093_s0011,2
p10093_s0012,0
p10093_s0013,0
p10093_s0014,2
p10093_s0015,0
p10093_s0016,0
p10093_s0017,0
p10093_s0018,0
p10093_s0019,0
p10093_s0020,2
p10093_s0021,2
p10093_s0022,0
p10093_s0023,0
p10093_s0024,0
p10093_s0025,0
p10093_s0026,2
p10093_s0027,2
p10093_s0028,2
p10093_s0029,0
p10093_s0030,2
p10093_s0031,0
p10093_s0032,0
p10093_s0033,0
p10093_s0034,0
p10093_s0035,0
p10093_s0036,2
p10093_s0037,0
p10093_s0038,0
p10093_s0039,0
p10093_s0040,2
p10093_s0041,2
p10093_s0042,2
p10093_s0043,0
p10093_s0044,2
p10093_s0045,0
p10093_s0046,0
p10093_s0047,0
p10093_s0048,2
p10093_s0049,2
p10093_s0050,2
p10093_s0051,0
p10093_s0052,0
p10093_s0053,0
p10093_s0054,0
p10093_s0055,0
p10093_s0056,0
p10093_s0057,0
p10093_s0058,0
p10093_s0059,0
p10093_s0060,0
p10093_s0061,2
p10093_s0062,2
p10093_s0063,0
p10093_s0064,0
p10093_s0065,0
p10093_s0066,0
p10093_s0067,0
p10093_s0068,0
p10093_s0069,2
p10093_s0070,0
p10093_s0071,2
p10093_s0072,2
p10093_s0073,2
p10093_s0074,0
p10093_s0075,2
p10093_s0076,0
p10093_s0077,2
p10093_s0078,2
p10093_s0079,0
p10093_s0080,2
p10093_s0081,0
p10093_s0082,2
p10093_s0083,0
p10093_s0084,0
p10093_s0085,0
p10093_s0086,2
p10093_s0087,0
p10093_s0088,2
p10093_s0089,0
p10093_s0090,0
p10093_s0091,2
p10093_s0092,2
p10093_s0093,2
p10093_s0094,0
p10093_s0095,2
p10093_s0096,2
p10093_s0097,2
p10094_s0001,1
p10095_s0001,1
p10096_s0001,1
p10096_s0002,0
p10096_s0003,0
p10096_s0004,2
p10096_s0005,0
p10096_s0006,0
p10096_s0007,0
p10096_s0008,2
p10096_s0009,2
p10096_s0010,0
p10096_s0011,0
p10096_s0012,2
p10096_s0013,0
p10096_s0014,2
p10096_s0015,2
p10096_s0016,0
p10096_s0017,0
p10096_s0018,0
p10096_s0019,0
p10096_s0020,0
p10096_s0021,2
p10096_s0022,2
p10096_s0023,2
p10096_s0024,0
p10096_s0025,2
p10096_s0026,0
p10096_s0027,2
p10096_s0028,0
