session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3,posterior_cluster_4
p2761_s0118,p2761,118,1,0.9999999999300098,1.0603482905179944e-09,-6.9398853929550395,6.999023550201228e-11,0.9999999999300098,2.1680329342691646e-18,5.326984067955891e-16,1.620610614887924e-35
p2762_s0001,p2762,1,4,0.9999975887372755,2.1854543330209425e-05,-4.228553775896923,7.516124820905194e-07,6.237420970690848e-92,1.2924212174017074e-08,1.646726030344152e-06,0.9999975887372755
p2762_s0002,p2762,2,3,0.9999313733362981,0.00045142246834296856,-6.899849565983586,6.862666330083314e-05,6.9589294386445916e-158,4.0112989817445866e-13,0.9999313733362981,1.7763286390704537e-20
p2762_s0003,p2762,3,3,0.5516451787324856,0.4286143961440183,-7.251231637293449,0.00023698473341826886,1.19170620424757e-92,0.4481178365340963,0.5516451787324856,5.7876323705709294e-21
p2762_s0004,p2762,4,3,0.9999821508795712,0.0001323481508206775,-4.366014511010227,1.7848891567042076e-05,1.1688661423103218e-126,2.2886196898305078e-10,0.9999821508795712,2.817736619069821e-16
p2762_s0005,p2762,5,3,0.9998695929149652,0.0008058653055898603,-4.773730935394443,0.00013039548807382617,1.2156477321717725e-134,1.1589134323696642e-08,0.9998695929149652,7.826985168891716e-12
p2762_s0006,p2762,6,3,0.9999788759462842,0.0001544288260620091,-4.145682100772643,2.112240268036976e-05,2.0008366180585772e-128,1.6510200571881627e-09,0.9999788759462842,1.555685179533059e-14
p2763_s0001,p2763,1,4,0.9999979400513802,1.888796868478776e-05,-4.300537441883744,7.767990266335048e-07,9.771381208375519e-103,3.886411828125188e-10,1.2827609524326687e-06,0.9999979400513802
p2763_s0002,p2763,2,1,0.9999999998960583,1.549342555172937e-09,-4.125347993695485,1.039121922083562e-10,0.9999999998960583,2.3178273649951676e-14,6.938694048884934e-15,2.1478187673330232e-21
p2763_s0003,p2763,3,3,0.9999870932012894,9.831672636380112e-05,-4.7753698286227335,1.2904006290999748e-05,3.4992026227862896e-120,2.7924194802315638e-09,0.9999870932012894,8.043680091636623e-17
p2763_s0004,p2763,4,2,0.9999826666450677,0.0001308835486751099,-3.7478518803856917,8.167078949176217e-07,8.427543479690631e-62,0.9999826666450677,1.651664703736788e-05,2.084054408097866e-21
p2763_s0005,p2763,5,3,0.9996325275662381,0.0021294314510450986,-4.274511271971794,5.406697169365635e-05,8.5471860538476105e-106,0.0003134054618532669,0.9996325275662381,2.143480351956475e-13
p2763_s0006,p2763,6,3,0.8537988045824014,0.25908518187794344,-5.795107153675466,0.00011246788963320504,1.2116327786581208e-88,0.1460887275278705,0.8537988045824014,9.52093264225362e-14
p2763_s0007,p2763,7,3,0.9999836137200924,0.00012237552350409956,-4.412862742213831,1.6385538433738133e-05,1.5395213997458034e-129,7.414484138389634e-10,0.9999836137200924,2.5604681817719244e-14
p2763_s0008,p2763,8,3,0.9999644001036465,0.00024869240551334774,-5.477516682495318,3.559989582339835e-05,5.151238817094716e-144,5.099215981546735e-13,0.9999644001036465,2.0126531959351416e-14
p2763_s0009,p2763,9,3,0.9999245258545967,0.0004920051795308946,-7.464459671228194,7.54740780247358e-05,8.969314876557535e-109,6.737857771210343e-11,0.9999245258545967,5.634164355378345e-17
p2763_s0010,p2763,10,3,0.9682983394035574,0.08781386147646658,-6.201079087548718,0.00010818406708531604,9.206005855264575e-74,0.03159347651980134,0.9682983394035574,9.555889904312407e-12
p2764_s0001,p2764,1,4,0.9999968598658473,2.7432875878968747e-05,-4.052219278906402,4.122191510331878e-07,2.9857601052128212e-105,9.608132881043834e-11,2.7278189198964104e-06,0.9999968598658473
