session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3
p840_s0022,p840,22,1,0.9687084954453502,0.10070007378593004,-5.323841967063649,0.03123763964798175,0.9687084954453502,2.2642996604652844e-96,5.3864906668254775e-05
p840_s0023,p840,23,1,0.9999770299674382,0.00019357435586923318,-5.204331900439552,3.1309625304965102e-09,0.9999770299674382,1.238691502730534e-130,2.2966901599131823e-05
p840_s0024,p840,24,1,0.9981492310390171,0.00992158117404637,-4.758140234714817,0.0017922077313018523,0.9981492310390171,1.1895395418292338e-104,5.8561229681312236e-05
p840_s0025,p840,25,1,0.9999550450827879,0.00037847518735558257,-5.602467342775401,2.811325342454898e-05,0.9999550450827879,1.6427580371892075e-107,1.684166378775068e-05
p8400_s0001,p8400,1,1,0.999509846553962,0.0031839065319044036,-9.04113883682201,0.0004269309619689755,0.999509846553962,1.416705175550227e-77,6.32224840687265e-05
p8400_s0002,p8400,2,1,0.9996953895158616,0.0019987393057751177,-14.474555480595255,3.5874300214335237e-10,0.9996953895158616,8.021547763173616e-81,0.0003046101253951692
p8401_s0001,p8401,1,1,0.9999293246203151,0.0005411008397794064,-9.148147643883341,7.112004138210938e-07,0.9999293246203151,9.729184937474425e-100,6.996417927150512e-05
p8401_s0002,p8401,2,1,0.999923224392048,0.0005803032159222229,-10.91619922505819,3.1664096949812086e-08,0.999923224392048,4.009659433170948e-79,7.67439438558632e-05
p8401_s0003,p8401,3,0,0.9998445585964281,0.0010987745359717976,-3.7997188925974412,0.9998445585964281,0.00015470194872964507,9.301029785212775e-65,7.394548422379115e-07
p8402_s0001,p8402,1,1,0.9994315434763251,0.003621541163934946,-9.11837258092214,0.0005023282626216995,0.9994315434763251,1.91507910763151e-76,6.612826105407135e-05
p8403_s0001,p8403,1,1,0.9999847546628352,0.00013615996143401601,-8.03140159366364,1.2913782074530716e-06,0.9999847546628352,1.4105908657498494e-92,1.3953958957394216e-05
p8403_s0002,p8403,2,3,1.0,-8.00856477301496e-16,-10.525449333532054,5.669735793884078e-44,5.966504145805394e-24,9.54764917294227e-195,1.0
p8403_s0003,p8403,3,1,0.9999614578621104,0.0003294122692976068,-5.613874657636009,2.1779258359783514e-05,0.9999614578621104,4.208652918392563e-109,1.6762879529473896e-05
p8403_s0004,p8403,4,0,0.999904237863911,0.0007112825639521153,-3.912131539743975,0.999904237863911,9.506205395412961e-05,3.007201045589549e-61,7.000821350583226e-07
p8403_s0005,p8403,5,0,0.9997093455194396,0.0019218011148540422,-4.133544720324609,0.9997093455194396,0.000289656091387121,1.1229227340647175e-67,9.983891734849658e-07
p8403_s0006,p8403,6,1,0.9999440819483439,0.0004352935594145943,-8.631329970083415,1.122758492330174e-12,0.9999440819483439,6.153473216725472e-123,5.591805053366294e-05
p8403_s0007,p8403,7,1,0.9999900930657549,8.959745729481312e-05,-4.852143401674426,2.1142124481498564e-08,0.9999900930657549,2.5331412558589656e-106,9.885792120973485e-06
p8403_s0008,p8403,8,1,0.8769265830763929,0.2695363215676314,-5.701956181004405,0.12299539405593012,0.8769265830763929,1.8354340491648087e-74,7.802286767696617e-05
p8403_s0009,p8403,9,1,0.9998781308402441,0.0009248710122870976,-7.080396255223248,9.68051297081771e-05,0.9998781308402441,4.559920001553193e-74,2.506403004754529e-05
p8403_s0010,p8403,10,1,0.9998343816726788,0.0011595291559319421,-12.578571659245195,9.472937480818888e-14,0.9998343816726788,1.5486490572929156e-116,0.00016561832722603406
p8404_s0001,p8404,1,1,0.9999335066601375,0.0005111771523083799,-9.052167173593643,4.289046572266876e-07,0.9999335066601375,6.930098139244039e-103,6.606443520423093e-05
p8404_s0002,p8404,2,1,0.9999820116737976,0.00016177926602387746,-6.659229406069953,4.177422599411749e-06,0.9999820116737976,2.405778444237231e-97,1.381090360322661e-05
p8404_s0003,p8404,3,1,0.9999497594244382,0.00039497749644667535,-7.691628032803796,6.077601819321273e-14,0.9999497594244382,2.2823438569897283e-142,5.0240575500786925e-05
p8404_s0004,p8404,4,1,0.9999819233075048,0.00015546422976700063,-4.928764882167385,3.0029889121664217e-09,0.9999819233075048,4.040643610744674e-124,1.8073689506295092e-05
p8404_s0005,p8404,5,0,0.9999031108997494,0.0007189679998408217,-4.014285430317671,0.9999031108997494,9.614316556205459e-05,1.5978209000318262e-63,7.459346884980641e-07
p8404_s0006,p8404,6,0,0.9997858606357687,0.001463932160534213,-4.142697024472509,0.9997858606357687,0.00021319102554465902,4.310775413745246e-68,9.483386862045049e-07
p8404_s0007,p8404,7,1,0.9999768636451837,0.00019490836360131286,-5.239065590195232,1.2214560274475575e-08,0.9999768636451837,3.835387423798362e-130,2.312414025621364e-05
p8404_s0008,p8404,8,1,0.9999446811144914,0.00043105923843228544,-7.829133141066049,1.5432100953468834e-13,0.9999446811144914,1.2528457395255483e-140,5.5318885354107405e-05
p8404_s0009,p8404,9,3,1.0,-8.008566259537291e-16,-8.956252617341807,4.836748837084268e-53,1.3801819083958389e-33,3.7925374268303894e-168,1.0
p8404_s0010,p8404,10,0,0.9995963048011993,0.002578814486659873,-4.389823103529283,0.9995963048011993,0.00040092427678978704,7.120804910278841e-56,2.7709220104815683e-06
p8404_s0011,p8404,11,0,0.501871302582985,0.5007302622648948,-6.382575227472067,0.501871302582985,0.4980206697243537,2.5934362511739818e-77,0.00010802769266117946
p8404_s0012,p8404,12,3,1.0,-8.008565245475014e-16,-8.704686746461498,3.371249197888094e-39,4.0701754996911134e-24,5.083149811364065e-156,1.0
p8404_s0013,p8404,13,3,1.0,-8.008566259537259e-16,-8.777393005168673,3.3747574103439117e-49,1.2777186171491958e-31,4.9159417492019696e-160,1.0
p8404_s0014,p8404,14,1,0.9999655844293462,0.00029715966666181784,-5.317967797844549,1.7581889752724958e-05,0.9999655844293462,5.712616334926084e-99,1.683368090087846e-05
p8404_s0015,p8404,15,1,0.9999775471543181,0.00019902917249295843,-5.318039562931186,6.089753913137638e-06,0.9999775471543181,7.145036855977203e-105,1.636309176857322e-05
p8404_s0016,p8404,16,1,0.9999839170403223,0.0001397059630022841,-5.984350543879624,8.292526757378061e-09,0.9999839170403223,2.422873088034448e-122,1.607466715121378e-05
p8404_s0017,p8404,17,1,0.5193238863970407,0.49970892943197553,-6.781671773325614,0.4806437232241742,0.5193238863970407,3.9406059695208626e-64,3.239037878542872e-05
p8404_s0018,p8404,18,1,0.9999870896432348,0.00011417402107986525,-5.242300774303903,3.2805557144651315e-09,0.9999870896432348,1.842953765042565e-109,1.2907076209336515e-05
p8404_s0019,p8404,19,1,0.9999855847386181,0.0001320538746137912,-4.181852626004172,3.4738267588490607e-06,0.9999855847386181,4.014313798695334e-104,1.0941434622991665e-05
p8404_s0020,p8404,20,1,0.9999342112726368,0.0005331232794361478,-4.496973728874513,4.650647750952045e-05,0.9999342112726368,3.0618338847015086e-112,1.928224985414368e-05
p8404_s0021,p8404,21,0,0.9997684345977048,0.0015731147993825031,-4.3272011325963025,0.9997684345977048,0.00022968807203308214,3.864781293129532e-51,1.8773302622746025e-06
p8404_s0022,p8404,22,1,0.9985154548424017,0.008133979077129769,-4.705216052831604,0.0014601725512399888,0.9985154548424017,2.997589352288721e-98,2.4372606358599873e-05
p8404_s0023,p8404,23,1,0.9999794677019969,0.00017467313412159285,-5.903824553083907,5.037404645529921e-11,0.9999794677019969,1.6510271019432386e-127,2.0532247629372454e-05
p8404_s0024,p8404,24,0,0.9997856548608611,0.0014712062266912258,-4.596128270733451,0.9997856548608611,0.00021165937700098002,8.957634377792594e-50,2.685762137713756e-06
p8404_s0025,p8404,25,0,0.9977478858605812,0.01153778489375958,-4.39242604224013,0.9977478858605812,0.0022500417832960755,8.279398769213401e-80,2.072356122832808e-06
p8404_s0026,p8404,26,0,0.9992134242485512,0.004629168001090872,-3.862898899977193,0.9992134242485512,0.0007854006095742575,6.760950339546858e-76,1.175141874662094e-06
p8404_s0027,p8404,27,0,0.5400440520446099,0.49867615471030097,-9.167211367635984,0.5400440520446099,0.4598033246323518,8.84118185713871e-33,0.00015262332303857831
p8404_s0028,p8404,28,2,0.9999999998411466,2.740150217439692e-09,-4.141670177310807,1.636676794145763e-12,1.3681916377117285e-11,0.9999999998411466,1.4353479655913405e-10
p8404_s0029,p8404,29,2,0.9999999999404547,1.064306007699832e-09,-9.123565367919415,3.2772112614637803e-18,3.732932780542055e-12,0.9999999999404547,5.58121765714893e-11
p8405_s0001,p8405,1,1,0.9999630876160326,0.00030858177273825705,-8.131627058326174,3.219351000797349e-05,0.9999630876160326,7.688133456080329e-65,4.718873959778148e-06
p8405_s0002,p8405,2,1,0.9999198711323056,0.0006029679554805655,-9.558850161209037,2.718656101252669e-13,0.9999198711323056,4.772799270966235e-128,8.012886742280196e-05
p8406_s0001,p8406,1,1,0.9999933969685493,6.239785194834841e-05,-7.006754835593715,2.7329860614032484e-07,0.9999933969685493,1.2534096666239405e-95,6.329732844429049e-06
p8406_s0002,p8406,2,1,0.9999652129507378,0.000282711957738358,-7.532437276558104,1.8806070527010899e-10,0.9999652129507378,1.879066353495669e-117,3.4786861201299735e-05
p8406_s0003,p8406,3,0,0.9998276016179798,0.0012053068930646907,-3.805903954189163,0.9998276016179798,0.00017169467112332877,1.3014844595704678e-62,7.037108970204301e-07
p8407_s0001,p8407,1,1,0.9999926620755641,6.939854210088647e-05,-7.167900741025138,6.164451831747718e-07,0.9999926620755641,7.024624928477402e-91,6.7214792530951954e-06
p8407_s0002,p8407,2,1,0.9999460527407491,0.00044827334838767565,-4.3050198637533,2.562689153191191e-05,0.9999460527407491,8.72312932601418e-112,2.832036771905603e-05
